"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","MFP","TOT","AGRWTH","A","2005",-0.112354,
"PRT","MFP","TOT","AGRWTH","A","2006",0.65732,
"PRT","MFP","TOT","AGRWTH","A","2007",0.567913,
"PRT","MFP","TOT","AGRWTH","A","2008",-0.733906,
"PRT","MFP","TOT","AGRWTH","A","2009",-2.217531,
"PRT","MFP","TOT","AGRWTH","A","2010",1.613217,
"PRT","MFP","TOT","AGRWTH","A","2011",-0.145326,
"PRT","MFP","TOT","AGRWTH","A","2012",-0.923711,
"PRT","MFP","TOT","AGRWTH","A","2013",0.493584,
"PRT","MFP","TOT","AGRWTH","A","2014",-0.687365,
"PRT","MFP","TOT","AGRWTH","A","2015",0.236296,
"PRT","MFP","TOT","AGRWTH","A","2016",0.333994,
"PRT","MFP","TOT","AGRWTH","A","2017",1.05096,
"PRT","MFP","TOT","AGRWTH","A","2018",0.07938,
"PRT","MFP","TOT","AGRWTH","A","2019",1.126374,
"PRT","MFP","TOT","AGRWTH","A","2020",-2.043349,
"ESP","MFP","TOT","AGRWTH","A","2001",-0.289911,
"ESP","MFP","TOT","AGRWTH","A","2002",-0.481971,
"ESP","MFP","TOT","AGRWTH","A","2003",-0.362898,
"ESP","MFP","TOT","AGRWTH","A","2004",-0.312154,
"ESP","MFP","TOT","AGRWTH","A","2005",-0.167079,
"ESP","MFP","TOT","AGRWTH","A","2006",0.001982,
"ESP","MFP","TOT","AGRWTH","A","2007",0.20235,
"ESP","MFP","TOT","AGRWTH","A","2008",-0.97128,
"ESP","MFP","TOT","AGRWTH","A","2009",-0.256946,
"ESP","MFP","TOT","AGRWTH","A","2010",0.876885,
"ESP","MFP","TOT","AGRWTH","A","2011",-0.011417,
"ESP","MFP","TOT","AGRWTH","A","2012",-0.26782,
"ESP","MFP","TOT","AGRWTH","A","2013",0.025753,
"ESP","MFP","TOT","AGRWTH","A","2014",0.172636,
"ESP","MFP","TOT","AGRWTH","A","2015",1.14995,
"ESP","MFP","TOT","AGRWTH","A","2016",0.667519,
"ESP","MFP","TOT","AGRWTH","A","2017",0.929364,
"ESP","MFP","TOT","AGRWTH","A","2018",-0.017095,
"ESP","MFP","TOT","AGRWTH","A","2019",0.484925,
"ESP","MFP","TOT","AGRWTH","A","2020",-3.648186,
"SWE","MFP","TOT","AGRWTH","A","2001",-0.484142,
"SWE","MFP","TOT","AGRWTH","A","2002",2.10232,
"SWE","MFP","TOT","AGRWTH","A","2003",2.116732,
"SWE","MFP","TOT","AGRWTH","A","2004",2.581339,
"SWE","MFP","TOT","AGRWTH","A","2005",1.592531,
"SWE","MFP","TOT","AGRWTH","A","2006",2.136695,
"SWE","MFP","TOT","AGRWTH","A","2007",-0.007848,
"SWE","MFP","TOT","AGRWTH","A","2008",-2.515037,
"SWE","MFP","TOT","AGRWTH","A","2009",-2.847551,
"SWE","MFP","TOT","AGRWTH","A","2010",3.563408,
"SWE","MFP","TOT","AGRWTH","A","2011",0.719562,
"SWE","MFP","TOT","AGRWTH","A","2012",-1.229932,
"SWE","MFP","TOT","AGRWTH","A","2013",0.251046,
"SWE","MFP","TOT","AGRWTH","A","2014",0.880442,
"SWE","MFP","TOT","AGRWTH","A","2015",2.26446,
"SWE","MFP","TOT","AGRWTH","A","2016",-0.761459,
"SWE","MFP","TOT","AGRWTH","A","2017",0.207013,
